url,OPFOERELSE_AAR,BYG_ARL_SAML,ESREjdNr
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1961,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2016,30,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2014,49,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2017,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2020,12000,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,88,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,4266,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,2766,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,0,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2015,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2000,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,1999,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2018,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0751&esrejendomsnr=169701,2011,0,169701
https://dawa.aws.dk/bbrlight/bygninger?kommunekode=0550&esrejendomsnr=19382,1961,0,169701
